Removed Pin From Net: NetName=ERR_LO_PROG+ Pin=U?-2
Removed Pin From Net: NetName=ERR_HI_PROG- Pin=U?-3
Change Component Footprint: Designator=U? Old Footprint=D0008A_M New Footprint=STM-SO-8_D_L
Change Component Comment : Designator=U? Old Comment=TLV2372IDR New Comment=LM393DT
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=6568B6E7-6B39-4B21-93C8-4D8D06E585F4 New ItemGUID=388E4CED-2E70-419A-B885-9CD586E9343C Old RevisionGUID=77713032-66F2-44A9-B319-4A36D1035A4B New RevisionGUID=FF9EAB37-1F77-451F-8953-085A3C34E777
Change component parameters: Designator = "U?" ("U?"); Footprint = "D0008A_M"; UniqueID = "\CFKWYWEG" ("\CFKWYWEG")
Change component parameters (AddParameter): Name = "Category"; Value = "IntegratedCircuits(ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Input Bias (Max)"; Value = "0.25µA@5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Output (Typ)"; Value = "18mA@5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Quiescent (Max)"; Value = "2.5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.st.com/content/ccc/resource/technical/document/datasheet/group1/b4/cc/cf/13/18/28/44/f5/CD00000465/files/CD00000465.pdf/jcr:content/translations/en.CD00000465.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. 15, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "EDA / CAD Models"; Value = "DownloadfromAcceleratedDesigns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "Linear-Comparators"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.st.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "2"; VariantName = "[No Variations]"
